Execução;MySQL;PostGreSQL;Neo4J;SQL Server
1;157;6;179;4;
2;166;6;170;3;
3;151;6;176;3;
4;166;7;176;3;
5;189;5;176;3;
6;165;6;201;3;
7;159;6;165;3;
8;169;6;192;3;
9;158;6;148;3;
10;146;5;137;3;
11;142;5;143;3;
12;146;5;141;3;
13;150;5;154;3;
14;141;5;142;3;
15;143;5;151;3;
16;149;5;152;3;
17;147;5;145;3;
18;148;5;128;3;
19;147;5;145;4;
20;146;5;139;3;
21;147;5;150;5;
22;165;6;170;4;
23;156;12;223;4;
24;158;6;221;4;
25;163;7;190;4;
26;198;6;177;4;
27;166;7;173;3;
28;168;6;168;3;
29;158;6;159;3;
30;157;5;151;3;
